Name,Author,User Rating,Reviews,Price,Price_r,Year,Genre
10-Day Green Smoothie Cleanse,JJ Smith,4.7,"17,350",$8.00,$8,2016,Non Fiction
11/22/63: A Novel,Stephen King,4.6,"2,052",$22.00,$22,2011,Fiction
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,"18,979",$15.00,$15,2018,Non Fiction
1984,George Orwell,4.7,"70,425",$7.48,$8,2021,Fiction
1984 (Signet Classics),George Orwell,4.7,"21,424",$6.00,$6,2017,Fiction
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,4.8,"7,665",$12.00,$12,2019,Non Fiction
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,"12,643",$11.00,$11,2011,Fiction
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,4.7,"19,735",$30.00,$30,2014,Fiction
A Gentleman in Moscow: A Novel,Amor Towles,4.7,"19,699",$15.00,$15,2017,Fiction
"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.7,"5,983",$3.00,$3,2018,Non Fiction
A Man Called Ove: A Novel,Fredrik Backman,4.6,"23,848",$8.00,$8,2016,Fiction
A Man Called Ove: A Novel,Fredrik Backman,4.6,"23,848",$8.00,$8,2017,Fiction
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.6,460,$2.00,$2,2010,Non Fiction
A Promised Land,Barack Obama,4.9,"83,212",$23.00,$23,2020,Non Fiction
A Stolen Life: A Memoir,Jaycee Dugard,4.6,"4,149",$32.00,$32,2011,Non Fiction
A Wrinkle in Time (Time Quintet),Madeleine L'Engle,4.5,"5,153",$5.00,$5,2018,Fiction
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,4.6,"5,013",$17.00,$17,2009,Non Fiction
"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",Adult Coloring Book Designs,4.5,"2,313",$4.00,$4,2016,Non Fiction
Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,4.6,"2,925",$6.00,$6,2015,Non Fiction
Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,4.4,"2,951",$6.00,$6,2015,Non Fiction
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley???????",Coloring Books for Adults,4.5,"2,426",$8.00,$8,2015,Non Fiction
Alexander Hamilton,Ron Chernow,4.8,"9,198",$13.00,$13,2016,Non Fiction
All the Light We Cannot See,Anthony Doerr,4.6,"36,348",$14.00,$14,2014,Fiction
All the Light We Cannot See,Anthony Doerr,4.6,"36,348",$14.00,$14,2015,Fiction
Allegiant,Veronica Roth,3.9,"6,310",$13.00,$13,2013,Fiction
American Dirt (Oprah's Book Club),Jeanine Cummins,4.6,"41,716",$17.00,$17,2020,Fiction
American Marxism,Mark R. Levin,4.8,"33,712",$12.52,$13,2021,Non Fiction
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,4.6,"15,921",$9.00,$9,2015,Non Fiction
And the Mountains Echoed,Khaled Hosseini,4.3,"12,159",$13.00,$13,2013,Fiction
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.6,798,$5.00,$5,2009,Non Fiction
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7,"9,374",$9.00,$9,2017,Non Fiction
Atlas of the Heart: Mapping Meaningful Connection and the Language of Human,Brené Brown,4.8,"13,893",$17.78,$18,2021,Non Fiction
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8,"29,634",$12.00,$12,2020,Non Fiction
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8,"104,159",$11.98,$12,2021,Non Fiction
"Autobiography of Mark Twain, Vol. 1",Mark Twain,4.2,491,$14.00,$14,2010,Non Fiction
Baby Touch and Feel: Animals,DK,4.6,"5,360",$5.00,$5,2015,Non Fiction
